person_id,era_from,era_to,                                               
1461,-200,-100,
1462,-200,-100,
1463,-200,-100,
1464,-200,-100,
1465,-199,-124,
1466,-199,-152,
1468,-200,-75,
1469,-200,-100,
1470,-200,-100,
1471,-200,-75,
1472,-200,-100,
1473,-200,-100,
1474,-200,-75,
1475,-200,-75,
1476,-200,-100,
1479,-200,-100,
1480,-196,-75,
1481,-200,-155,
1482,-200,-100,
1483,-200,-75,
1484,-200,-100,
1485,-187,-75,
1486,-200,-154,
1487,-200,-100,
1489,-200,-100,
1492,-180,-75,
1494,-200,-100,
1495,-193,-75,
1496,-200,-100,
1497,-200,-100,
1498,-200,-100,
1499,-200,-75,
1500,-169,-130,
1502,-191,-75,
1503,-200,-75,
1504,-185,-129,
1506,-180,-75,
1507,-200,-148,
1508,-200,-75,
1509,-200,-75,
1510,-177,-50,
1511,-177,-75,
1512,-200,-75,
1513,-180,-132,
1514,-200,-75,
1515,-200,-75,
1516,-200,-100,
1518,-200,-75,
1519,-200,-75,
1520,-200,-75,
1521,-200,-75,
1522,-200,-146,
1523,-165,-50,
1524,-190,-125,
1525,-162,-133,
1529,-200,-75,
1530,-200,-75,
1531,-200,-125,
1532,-200,-75,
1533,-179,-125,
1534,-200,-75,
1535,-200,-75,
1536,-200,-75,
1537,-200,-75,
1538,-200,-75,
1541,-200,-75,
1542,-181,-75,
1543,-200,-75,
1544,-200,-75,
1545,-182,-75,
1546,-200,-75,
1547,-200,-75,
1548,-172,-75,
1549,-200,-75,
1550,-175,-75,
1551,-184,-75,
1552,-184,-50,
1553,-180,-100,
1554,-175,-75,
1555,-175,-75,
1556,-183,-75,
1557,-175,-75,
1558,-175,-75,
1559,-175,-75,
1560,-160,-75,
1561,-175,-75,
1562,-175,-141,
1563,-200,-75,
1565,-181,-75,
1566,-175,-140,
1567,-180,-114,
1568,-175,-130,
1569,-175,-75,
1570,-175,-75,
1571,-175,-140,
1572,-200,-75,
1573,-179,-75,
1574,-175,-75,
1575,-180,-75,
1576,-190,-75,
1577,-175,-75,
1578,-175,-75,
1579,-175,-137,
1581,-175,-75,
1582,-175,-75,
1583,-170,-50,
1584,-175,-75,
1585,-175,-75,
1589,-175,-75,
1590,-175,-100,
1591,-185,-131,
1592,-175,-75,
1594,-164,-100,
1595,-143,-100,
1596,-158,-75,
1597,-175,-75,
1598,-154,-121,
1599,-175,-75,
1600,-175,-129,
1601,-175,-75,
1602,-175,-75,
1603,-175,-75,
1604,-175,-75,
1605,-175,-75,
1606,-175,-75,
1607,-163,-75,
1608,-175,-75,
1609,-175,-75,
1612,-175,-75,
1613,-170,-87,
1614,-175,-75,
1615,-175,-100,
1616,-175,-75,
1617,-175,-75,
1618,-175,-50,
1620,-175,-75,
1621,-175,-75,
1622,-163,-75,
1623,-163,-119,
1624,-168,-121,
1626,-175,-75,
1627,-175,-50,
1628,-175,-75,
1629,-150,-50,
1630,-169,-103,
1631,-175,-75,
1632,-175,-75,
1633,-175,-50,
1634,-175,-50,
